title,country,awards
Who Framed Roger Rabbit,USA,3
Young Guns,USA,0
Beverly Hills Cop II,USA,0
Evil Dead II,USA,0
Fatal Attraction,USA,0
"Good Morning, Vietnam",USA,0
Hellraiser,UK,0
Lethal Weapon,USA,0
Predator,USA,0
Radio Days,USA,0
RoboCop,USA,0
Superman IV: The Quest for Peace,UK,0
Superman IV: The Quest for Peace,USA,0
The Last Emperor,China,9
The Last Emperor,Italy,9
The Last Emperor,UK,9
The Last Emperor,France,9
The Lost Boys,USA,0
The Princess Bride,USA,0
Aliens,USA,2
Aliens,UK,2
Crocodile Dundee,Australia,0
Little Shop of Horrors,USA,0
Peggy Sue Got Married,USA,0
Platoon,UK,4
Platoon,USA,4
Top Gun,USA,1
Back to the Future,USA,1
Brazil,UK,0
Commando,USA,0
Ladyhawke,USA,0
Legend,USA,0
Legend,UK,0
Red Sonja,Netherlands,0
Red Sonja,USA,0
Return to Oz,UK,0
Return to Oz,USA,0
The Color Purple,USA,0
Amadeus,USA,8
Beverly Hills Cop,USA,0
Body Double,USA,0
Conan the Destroyer,USA,0
Dune,USA,0
Ghostbusters,USA,0
Gremlins,USA,0
Indiana Jones and the Temple of Doom,USA,1
Police Academy,USA,0
Repo Man,USA,0
Splash,USA,0
Star Trek III: The Search for Spock,USA,0
The Karate Kid,USA,0
The Terminator,UK,0
The Terminator,USA,0
Flashdance,USA,1
Star Wars: Episode VI - Return of the Jedi,USA,0
Superman III,UK,0
Superman III,USA,0
Videodrome,Canada,0
WarGames,USA,0
Blade Runner,USA,0
Blade Runner,Hong Kong,0
Blade Runner,UK,0
Cat People,USA,0
Conan the Barbarian,USA,0
Diner,USA,0
Fast Times at Ridgemont High,USA,0
First Blood,USA,0
Friday the 13th Part III,USA,0
Poltergeist,USA,0
The Best Little Whorehouse in Texas,USA,0
Tootsie,USA,1
TRON,USA,0
Das Boot,West Germany,0
Escape from New York,UK,0
Escape from New York,USA,0
Friday the 13th Part 2,USA,0
Halloween II,USA,0
Heavy Metal,Canada,0
Raiders of the Lost Ark,USA,4
The Evil Dead,USA,0
Time Bandits,UK,0
Airplane!,USA,0
Fame,USA,2
Flash Gordon,USA,0
Flash Gordon,UK,0
Friday the 13th,USA,0
Private Benjamin,USA,0
Raging Bull,USA,2
Somewhere in Time,USA,0
Star Wars: Episode V - The Empire Strikes Back,USA,1
Superman II,USA,0
Superman II,UK,0
The Blues Brothers,USA,0
The Fog,USA,0
The Shining,UK,0
The Shining,USA,0
Alien,USA,1
Alien,UK,1
Apocalypse Now,USA,2
Moonraker,UK,0
Moonraker,France,0
Star Trek: The Motion Picture,USA,0
The Amityville Horror,USA,0
Animal House,USA,0
Dawn of the Dead,Italy,0
Dawn of the Dead,USA,0
Days of Heaven,USA,1
Grease,USA,0
Halloween,USA,0
I Spit on Your Grave,USA,0
Superman,USA,0
Superman,UK,0
The Deer Hunter,UK,5
The Deer Hunter,USA,5
A Bridge Too Far,USA,0
A Bridge Too Far,UK,0
Annie Hall,USA,4
Close Encounters of the Third Kind,USA,1
Eraserhead,USA,0
Julia,USA,3
Assault on Precinct 13,USA,0
Family Plot,USA,0
Network,USA,4
Rocky,USA,3
Silent Movie,USA,0
Taxi Driver,USA,0
Barry Lyndon,UK,4
Barry Lyndon,USA,4
Jaws,USA,3
Monty Python and the Holy Grail,UK,0
The Rocky Horror Picture Show,UK,0
The Rocky Horror Picture Show,USA,0
Black Christmas,Canada,0
Blazing Saddles,USA,0
The Conversation,USA,0
The Godfather: Part II,USA,6
The Texas Chain Saw Massacre,USA,0
The Towering Inferno,USA,3
Young Frankenstein,USA,0
American Graffiti,USA,0
Sleeper,USA,0
The Exorcist,USA,2
The Sting,USA,7
The Godfather,USA,3
Shaft,USA,1
Straw Dogs,USA,0
Straw Dogs,UK,0
The French Connection,USA,5
