title,country,awards
Get Low,Germany,0
Get Low,Poland,0
Harry Brown,UK,0
Harry Potter and the Half-Blood Prince,UK,0
Harry Potter and the Half-Blood Prince,USA,0
I Love You Phillip Morris,France,0
I Love You Phillip Morris,USA,0
"I Love You, Man",USA,0
Ice Age: Dawn of the Dinosaurs,USA,0
Inglourious Basterds,USA,1
Inglourious Basterds,Germany,1
Invictus,USA,0
Knowing,USA,0
Knowing,UK,0
Knowing,Australia,0
Law Abiding Citizen,USA,0
Life During Wartime,USA,0
Monsters vs Aliens,USA,0
Moon,UK,0
Mother and Child,USA,0
Mother and Child,Spain,0
Nine,USA,0
Nine,Italy,0
Nowhere Boy,UK,0
Nowhere Boy,Canada,0
Ondine,Ireland,0
Ondine,USA,0
Paa,India,0
Planet 51,Spain,0
Planet 51,UK,0
Planet 51,USA,0
Public Enemies,USA,0
Push,USA,0
Push,Canada,0
Sherlock Holmes,USA,0
Sherlock Holmes,Germany,0
Splice,Canada,0
Splice,France,0
Splice,USA,0
Star Trek,USA,1
Star Trek,Germany,1
State of Play,USA,0
State of Play,UK,0
State of Play,France,0
Terminator Salvation,USA,0
Terminator Salvation,Germany,0
Terminator Salvation,UK,0
Terminator Salvation,Italy,0
The Blind Side,USA,1
The Box,USA,0
The City of Your Final Destination,USA,0
The Final Destination,USA,0
The Girl with the Dragon Tattoo,Sweden,0
The Girl with the Dragon Tattoo,Denmark,0
The Girl with the Dragon Tattoo,Germany,0
The Girl with the Dragon Tattoo,Norway,0
The Hangover,USA,0
The Hangover,Germany,0
The Imaginarium of Doctor Parnassus,UK,0
The Imaginarium of Doctor Parnassus,Canada,0
The Imaginarium of Doctor Parnassus,France,0
The Informant!,USA,0
The Invention of Lying,USA,0
The Last Station,Germany,0
The Last Station,Russia,0
The Last Station,UK,0
The Lovely Bones,USA,0
The Lovely Bones,UK,0
The Lovely Bones,New Zealand,0
The Men Who Stare at Goats,USA,0
The Men Who Stare at Goats,UK,0
The Messenger,USA,0
The Princess and the Frog,USA,0
The Proposal,USA,0
The Road,USA,0
The Secret of Kells,France,0
The Secret of Kells,Belgium,0
The Secret of Kells,Ireland,0
The Soloist,UK,0
The Soloist,USA,0
The Soloist,France,0
The Ugly Truth,USA,0
The Unborn,USA,0
The Young Victoria,UK,1
The Young Victoria,USA,1
Transformers: Revenge of the Fallen,USA,0
Up,USA,2
Up in the Air,USA,0
Watchmen,USA,0
Whatever Works,USA,0
Whatever Works,France,0
